Month,Sensex,Gsec,Sensex-percent,Gsec-percent,Sensex-1000,Gsec-1000
1-November-2012,17752.68,324.49,0.031495526309267,0.013066658448643,1551.97124824023,1031.97131336156
1-December-2012,17404.2,319.84,-0.020022753128555,-0.01453851925963,1520.8965110741,1016.96797854687
1-January-2013,17318.81,319.21,-0.004930477324943,-0.001973622380251,1513.39776531267,1014.96086778441
1-February-2013,16218.53,325.4,-0.067840920231365,0.019022741241549,1410.72746823777,1034.26820574257
1-March-2013,17429.98,329.84,0.069503808954457,0.013461072034926,1508.77840067697,1048.1905645635
1-April-2013,17236.18,331.07,-0.011243790677517,0.003715226387169,1491.814012161,1052.08482980775
1-May-2013,17429.56,333.06,0.011094944450692,0.005974899417522,1508.36560575669,1058.37093084455
1-June-2013,18762.74,337.64,0.071054654064385,0.013564743513802,1615.54200207635,1072.72746106392
1-July-2013,18505.38,340.5,-0.013907306956139,0.008399412628488,1593.07416355293,1081.73774164731
1-August-2013,19339.9,341.47,0.043150171407298,0.002840659501567,1661.81558677478,1084.81059024132
1-September-2013,19426.71,346.68,0.004468589895046,0.015028268143533,1669.24155911327,1101.11341467641
1-October-2013,19894.98,352.37,0.023537093276797,0.016147799188353,1708.53065339163,1118.89397298021
1-November-2013,18861.54,355.01,-0.054790860131251,0.007436410241965,1614.91878933169,1127.21452758055
1-December-2013,18835.77,355.49,-0.001368141573188,0.001350248952151,1612.70935179868,1128.73654781527
1-January-2014,19504.18,363.09,0.034270089796136,0.020931449502878,1667.97704609989,1152.36263986791
1-February-2014,19760.3,371.35,0.012961341680035,0.022243166823751,1689.59626650885,1177.99483430796
1-March-2014,19395.81,370.38,-0.018792203058289,-0.00261893190777,1657.84503038209,1174.9097460492
1-April-2014,19345.7,353,-0.002590239691508,-0.049235127478754,1653.55081438202,1117.06291492644
1-May-2014,18619.72,343.54,-0.038989845174901,-0.027536822495197,1589.07912414044,1086.30255172214
1-June-2014,19379.77,347.31,0.039218731698054,0.01085485589243,1651.40079195708,1098.09420937666
1-July-2014,21164.52,352.89,0.084327449902006,0.015812292782453,1790.65920950897,1115.45759651804
1-August-2014,20791.93,344.9,-0.01791993335876,-0.023166135111627,1758.57071580632,1089.61675512582
1-September-2014,21170.68,345.54,0.017890308672183,0.001852173409736,1790.03208873396,1091.63491430646
1-October-2014,20513.85,349.15,-0.032018855553687,0.010339395675211,1732.71730984832,1102.92175961835
1-November-2014,21120.12,349.62,0.028705802807939,0.001344316686688,1782.45635126673,1104.40443574392
1-December-2014,22386.27,353.44,0.056559221344154,0.010808057944771,1883.27069457432,1116.3409028799
1-January-2015,22417.8,355.44,0.001406471643069,0.005626828719334,1885.91946140246,1122.62236193279
1-February-2015,24217.34,362.05,0.074307913255543,0.018257146802928,2026.0582011473,1143.11824319885
1-March-2015,25413.78,362.35,0.047078396051276,0.000827928798123,2121.44177156385,1144.06466371205
1-April-2015,25894.97,365.52,0.018582373333509,0.00867257605603,2160.86319456834,1153.98665152111
1-May-2015,26638.11,366.81,0.027897624869032,0.003516807066329,2221.14614536371,1158.04499993163
1-June-2015,26630.51,370.52,-0.00028538694903,0.010012954766274,2220.51225924194,1169.64045213326
1-July-2015,27865.83,378.73,0.044330996062203,0.021677712354448,2318.94977946246,1194.99558141273
1-August-2015,28693.99,385.98,0.028861793009616,0.018783356650604,2385.878827997,1217.4416096143
1-September-2015,27499.42,394.29,-0.043439825276315,0.02107585787111,2282.23666857835,1243.1002359449
1-October-2015,29182.95,400.94,0.057688821726385,0.016586022846311,2413.89621288939,1263.71832485854
1-November-2015,29361.5,402.62,0.006081092587232,0.004172669017933,2428.57533925594,1268.99140316007
1-December-2015,27957.49,404.8,-0.050219458184551,0.005385375494071,2306.61360155814,1275.82539836484
1-January-2016,27011.31,404.27,-0.035029030432067,-0.001311005021397,2225.81516351414,1274.15278486116
1-February-2016,27828.44,408.02,0.029363126355628,0.009190725944807,2291.17205540468,1285.86317391863
1-March-2016,27780.83,405.07,-0.001713771690767,-0.007282691880416,2287.24550959745,1276.4986286226
1-April-2016,28114.56,408.98,0.011870361833868,0.00956036970023,2314.39594139926,1288.70242743407
1-May-2016,26283.09,412.19,-0.069682446013768,0.00778767073437,2153.12317115823,1298.73841761351
1-June-2016,26154.83,421.54,-0.004903874351315,0.022180575983299,2142.56452566396,1327.54518376782
1-July-2016,26656.83,421.39,0.018831946634315,-0.000355964783218,2182.91318647184,1327.07262443427
1-August-2016,26145.67,420.01,-0.019550464761469,-0.003285636056284,2140.23621914238,1322.71234677012
1-September-2016,26117.54,422.89,-0.0010770539645,0.006810281633522,2137.93106923758,1331.72039037176
1-October-2016,24870.69,424.74,-0.050133309530214,0.004355605782361,2030.74950918923,1337.52083940455
1-November-2016,23002,425.04,-0.081240326928093,0.000705815923207,1865.77075515364,1338.46488291062
1-December-2016,25341.86,436.91,0.092331817790802,0.027168066649882,2038.04076055789,1374.82838605807
1-January-2017,25606.62,439.29,0.010339513766362,0.005417833321951,2059.11311105808,1382.27697710002
1-February-2017,26667.96,442.26,0.039798319781491,0.006715506715507,2141.06235311823,1391.55966742242
1-March-2017,26999.72,445.29,0.012287534833695,0.006804554335377,2167.37073136328,1401.02861079032
1-April-2017,28051.86,456.55,0.037506960322774,0.024663235133063,2248.66221938927,1435.58250884639
1-May-2017,28452.17,460.85,0.014069577118371,0.009330584788977,2280.29994589813,1448.97733316675
1-June-2017,27865.96,464.14,-0.021036777487659,0.007088378506485,2232.32978333115,1459.24823295155
1-July-2017,27930.21,468.96,0.002300376545683,0.010278062094848,2237.46498240696,1474.24647690163
1-August-2017,26652.81,489.96,-0.047927404277448,0.042860641685036,2130.22909363851,1537.43362690353
